id,sex,weight,svl
BGS-1535,F,39.5,36.2
BGS-1536,F,15.7,26.4
BGS-1537,F,35.5,34.53333333
BGS-1538,F,35.5,35
BGS-1539,F,14.7,28.2
BGS-1540,M,20,31.2
BGS-1541,F,36,34
BGS-1542,F,32.5,32.5
BGS-1543,F,15.1,26.4
BGS-1544,M,30.46666667,35.85
BGS-1545,F,11.7,26.5
BGS-1546,M,15.3,26.8
BGS-1547,F,21.95,29.8
BGS-1548,M,18.5,32
BGS-1549,M,26,36
BGS-1550,M,16.33333333,29.93333333
BGS-1551,F,9.9,24.2
BGS-1552,F,8.5,22.9
BGS-1553,M,21,33.5
BGS-1554,F,40.25,36.1
BGS-1555,F,33,33
BGS-1556,M,29.15,34.3
BGS-1557,M,7,21.5
BGS-1558,F,10,23.6
BGS-1559,F,13.15,25.8
BGS-1560,F,11.5,23.4
BGS-1561,F,8.9,23.2
BGS-1562,M,11.1,27.2
BGS-1563,F,42.48,35.96
BGS-1564,F,12.8,25.75
BGS-1565,F,32,34.5
BGS-1566,M,10,23
BGS-1567,M,13.65,26.35
BGS-1568,F,10,24
BGS-1569,F,53.08,40.82
BGS-1570,F,43.66666667,36.46666667
BGS-1571,M,19,30
BGS-1572,F,8.7,23
BGS-1573,F,16.53333333,29
BGS-1574,F,10,25
BGS-1575,M,13.3,24.5
BGS-1576,F,10,23
BGS-1577,F,14.3,25.9
BGS-1578,M,47.54285714,40.58571429
BGS-1579,M,8.7,23.5
BGS-1580,M,28.5,33.9
BGS-1581,F,10.5,23
BGS-1582,F,11,27.5
BGS-1583,F,9.6,24.5
BGS-1584,M,8.7,23
BGS-1585,F,52.06666667,37.56666667
BGS-1586,M,14.1,27.4
BGS-1587,F,12.5,25.8
BGS-1588,F,50,38.8
BGS-1589,F,46.63333333,38.1
BGS-1590,M,11.7,26.2
BGS-1591,M,24.5,32.4
BGS-1592,F,31.5,34.8
BGS-1593,F,15.5,28
BGS-1594,M,22.35,30.1
BGS-1595,M,30.55,37.96666667
BGS-1596,F,18.2,29
BGS-1597,F,41.85,36
BGS-1598,F,14.9,27.8
BGS-1599,M,25,35
BGS-1600,F,12.1,26
BGS-1601,M,21.75,33.25
BGS-1602,F,18.1,28.3
BGS-1603,F,15.3,28
BGS-1604,F,51.5,39
BGS-1605,F,49.425,38.275
BGS-1606,M,19.36666667,30.46666667
BGS-1607,M,21.5,31
BGS-1608,M,22.5,30
BGS-1609,F,20,29
BGS-1610,F,78,41
BGS-1611,F,34.74,33.325
BGS-1612,M,25,34.2
BGS-1613,F,25.25,31.5
BGS-1614,M,20.5,33.4
BGS-1615,F,47.66666667,35.9
BGS-1616,M,22.3,33.2
BGS-1617,F,46.5,38.5
BGS-1618,F,17,28.5
BGS-1619,M,10,24.4
BGS-1620,F,34,36.8
BGS-1621,F,12.55,27.2
BGS-1622,F,34,34.9
BGS-1623,F,55.25,41
BGS-1624,F,49,37.9
BGS-1625,F,10.3,26.6
BGS-1626,M,24,33.2
BGS-1627,F,42.75,35.85
BGS-1628,M,21.25,31.8
BGS-1629,F,80,44.5
BGS-1630,M,11.3,26.3
BGS-1631,F,39.2,38
BGS-1632,M,16.7,30
BGS-1633,F,38.7,36.6
BGS-1634,F,53.7,37.8
BGS-1635,M,15.8,27.8
BGS-1636,M,19.2,30
BGS-1637,M,18,26.6
BGS-1638,F,46.75,39
BGS-1639,F,44.2,37.5
BGS-1640,F,10.5,25
BGS-1641,F,67.7,42
BGS-1642,M,24,34.5
BGS-1643,M,29.2,35
BGS-1644,F,56.79166667,40.225
BGS-1645,F,44,37.3
BGS-1646,M,13.8,28.8
BGS-1647,F,40.18333333,35.775
BGS-1648,F,79,44
BGS-1649,M,16.4,28.6
BGS-1650,M,30.2,33
BGS-1651,F,54,41.6
BGS-1652,M,28.2,32.2
BGS-1653,M,27.7,31.3
BGS-1654,M,33.3,34.7
BGS-1655,F,16.5,28.9
BGS-1656,M,28.7,35.35
BGS-1657,F,44,37.2
BGS-1658,F,47.2,38.16
BGS-1659,F,25,31
BGS-1660,M,18.2,29.8
BGS-1661,M,26,32.8
BGS-1662,F,9,24
BGS-1663,M,29.2,34.7
BGS-1664,F,41,36.7
BGS-1665,M,39.9,38.5
BGS-1666,F,45.7,35.8
BGS-1667,M,16,28
BGS-1668,M,25.3,34
BGS-1669,F,48,35.5
BGS-1670,M,11.5,23.3
BGS-1671,F,14.3,27.5
BGS-1672,M,14,28
BGS-1673,M,33.25,36.4
BGS-1674,M,32,35
BGS-1675,M,20.34,30.64
BGS-1676,F,35,36
BGS-1677,F,17.5,27.8
BGS-1678,M,14.5,26.8
BGS-1679,F,17.5,28
BGS-168,M,28.75,36.3
BGS-1680,F,46.5,36
BGS-1681,F,58.85,36.5
BGS-1682,M,17.85,32.1
BGS-1683,M,39.4,39
BGS-1684,F,56.06666667,40.76666667
BGS-1685,M,37.5,38.2
BGS-1686,M,17.8375,28.875
BGS-1687,F,30.68,35.64
BGS-1688,M,25,34.4
BGS-1689,M,20.7,31
BGS-1690,F,20,33
BGS-1691,F,44,36
BGS-1692,M,22.5,32.63333333
BGS-1693,F,19,28.4
BGS-1694,M,12.7,24.4
BGS-1695,F,61.25,40.3
BGS-1696,F,32,36.4
BGS-1698,M,28.23333333,34.46666667
BGS-1699,F,59.7,40
BGS-1700,F,21.8,30.8
BGS-1701,M,35.65,36.4
BGS-1702,F,66.25,40.2
BGS-1703,F,29.225,34.1
