focal,partner,simple_ratio,focal.sex,partner.sex,focal.age,partner.age
littlejudy,debbie,0,female,female,18.58179329,11.6386037
maggie,debbie,0,female,female,27.58110883,11.6386037
mary,debbie,0,female,female,7.906913073,11.6386037
masya,debbie,0.2,female,female,22.58179329,11.6386037
mike,debbie,0.166666667,male,female,15.58110883,11.6386037
moyo,debbie,0,male,female,5.963039014,11.6386037
nina,debbie,0,female,female,10.36550308,11.6386037
noel,debbie,0,female,female,36.58042437,11.6386037
pan,debbie,0,male,female,24.58042437,11.6386037
pippa,debbie,0,female,female,24.58042437,11.6386037
taylor,debbie,0,female,female,8.873374401,11.6386037
tess,debbie,0,female,female,15.58110883,11.6386037
trixie,debbie,0,female,female,23.58110883,11.6386037
violet,debbie,0,female,female,22.58179329,11.6386037
zsabu,debbie,0,male,female,23.58110883,11.6386037
dolly,diana,0,female,female,16.75838467,22.58179329
donna,diana,0,female,female,29.58247775,22.58179329
dora,diana,0,female,female,24.58042437,22.58179329
doug,diana,0,male,female,10.53251198,22.58179329
littlejane,diana,0,female,female,28.58042437,22.58179329
littlejenkins,diana,0,female,female,6.579055441,22.58179329
littlejudy,diana,0,female,female,18.58179329,22.58179329
maggie,diana,0,female,female,27.58110883,22.58179329
mary,diana,0,female,female,7.906913073,22.58179329
masya,diana,0,female,female,22.58179329,22.58179329
mike,diana,0.2,male,female,15.58110883,22.58179329
moyo,diana,0,male,female,5.963039014,22.58179329
nina,diana,0,female,female,10.36550308,22.58179329
noel,diana,0,female,female,36.58042437,22.58179329
pan,diana,0,male,female,24.58042437,22.58179329
pippa,diana,0,female,female,24.58042437,22.58179329
taylor,diana,0,female,female,8.873374401,22.58179329
tess,diana,0,female,female,15.58110883,22.58179329
trixie,diana,0,female,female,23.58110883,22.58179329
violet,diana,0,female,female,22.58179329,22.58179329
zsabu,diana,0.75,male,female,23.58110883,22.58179329
donna,dolly,0,female,female,29.58247775,16.75838467
dora,dolly,0,female,female,24.58042437,16.75838467
