focal,partner,simple_ratio,focal.sex,partner.sex,focal.age,partner.age
trixie,darwin,0.184210526,female,male,23.58110883,6.581793292
violet,darwin,0.139534884,female,male,22.58179329,6.581793292
vis,darwin,0.046511628,male,male,9.32238193,6.581793292
zsabu,darwin,0.214285714,male,male,23.58110883,6.581793292
debbie,david,0.125,female,male,11.6386037,11.88501027
diana,david,0.170731707,female,male,22.58179329,11.88501027
diz,david,0.071428571,female,male,5.804243669,11.88501027
dolly,david,0.051282051,female,male,16.75838467,11.88501027
donna,david,0.2,female,male,29.58247775,11.88501027
dora,david,0.097560976,female,male,24.58042437,11.88501027
doug,david,0.097560976,male,male,10.53251198,11.88501027
littlejane,david,0.052631579,female,male,28.58042437,11.88501027
littlejenkins,david,0.05,female,male,6.579055441,11.88501027
littlejudy,david,0.025,female,male,18.58179329,11.88501027
longjohn,david,0,male,male,7.58110883,11.88501027
maggie,david,0.102564103,female,male,27.58110883,11.88501027
mary,david,0.05,female,male,7.906913073,11.88501027
masya,david,0.075,female,male,22.58179329,11.88501027
max,david,0.025641026,male,male,6.924024641,11.88501027
maxine,david,0.025,female,male,12.20260096,11.88501027
mike,david,0.047619048,male,male,15.58110883,11.88501027
misha,david,0.076923077,female,male,25.58247775,11.88501027
